timestamp,participant,hour_of_day,day_of_week,sleep_duration,deep_sleep_min,resting_hr,stress,steps_last_3h,task_density,focus_proxy,resting_hr_delta_7d,data_origin
2026-07-22T08:00:00+00:00,edge-illness,8,2,9.28,83.1,62.3,45.3,256.0,3,3.551,0.0,synthetic
2026-07-22T09:00:00+00:00,edge-illness,9,2,9.28,83.1,62.3,45.3,661.6,0,3.195,0.0,synthetic
2026-07-22T10:00:00+00:00,edge-illness,10,2,9.28,83.1,62.3,45.3,1020.1,2,3.738,0.0,synthetic
2026-07-22T11:00:00+00:00,edge-illness,11,2,9.28,83.1,62.3,45.3,851.2,1,3.472,0.0,synthetic
2026-07-22T12:00:00+00:00,edge-illness,12,2,9.28,83.1,62.3,45.3,616.7,3,3.431,0.0,synthetic
2026-07-22T13:00:00+00:00,edge-illness,13,2,9.28,83.1,62.3,45.3,258.2,1,3.578,0.0,synthetic
2026-07-22T14:00:00+00:00,edge-illness,14,2,9.28,83.1,62.3,45.3,192.1,3,4.035,0.0,synthetic
2026-07-22T15:00:00+00:00,edge-illness,15,2,9.28,83.1,62.3,45.3,161.4,3,3.503,0.0,synthetic
2026-07-22T16:00:00+00:00,edge-illness,16,2,9.28,83.1,62.3,45.3,397.7,2,3.206,0.0,synthetic
2026-07-22T17:00:00+00:00,edge-illness,17,2,9.28,83.1,62.3,45.3,710.8,1,3.025,0.0,synthetic
2026-07-22T18:00:00+00:00,edge-illness,18,2,9.28,83.1,62.3,45.3,880.8,2,3.556,0.0,synthetic
2026-07-22T19:00:00+00:00,edge-illness,19,2,9.28,83.1,62.3,45.3,905.2,2,2.764,0.0,synthetic
2026-07-22T20:00:00+00:00,edge-illness,20,2,9.28,83.1,62.3,45.3,959.8,1,2.951,0.0,synthetic
2026-07-22T21:00:00+00:00,edge-illness,21,2,9.28,83.1,62.3,45.3,865.5,2,3.004,0.0,synthetic
2026-07-22T22:00:00+00:00,edge-illness,22,2,9.28,83.1,62.3,45.3,659.6,2,2.171,0.0,synthetic
2026-07-22T23:00:00+00:00,edge-illness,23,2,9.28,83.1,62.3,45.3,271.0,1,2.448,0.0,synthetic
2026-07-23T08:00:00+00:00,edge-illness,8,3,7.16,93.7,60.2,39.0,187.4,1,3.015,-1.05,synthetic
2026-07-23T09:00:00+00:00,edge-illness,9,3,7.16,93.7,60.2,39.0,766.6,3,2.931,-1.05,synthetic
2026-07-23T10:00:00+00:00,edge-illness,10,3,7.16,93.7,60.2,39.0,946.1,1,3.091,-1.05,synthetic
2026-07-23T11:00:00+00:00,edge-illness,11,3,7.16,93.7,60.2,39.0,1142.0,0,3.055,-1.05,synthetic
2026-07-23T12:00:00+00:00,edge-illness,12,3,7.16,93.7,60.2,39.0,654.5,1,3.518,-1.05,synthetic
2026-07-23T13:00:00+00:00,edge-illness,13,3,7.16,93.7,60.2,39.0,616.1,2,3.348,-1.05,synthetic
2026-07-23T14:00:00+00:00,edge-illness,14,3,7.16,93.7,60.2,39.0,348.9,4,3.14,-1.05,synthetic
2026-07-23T15:00:00+00:00,edge-illness,15,3,7.16,93.7,60.2,39.0,387.5,1,2.745,-1.05,synthetic
2026-07-23T16:00:00+00:00,edge-illness,16,3,7.16,93.7,60.2,39.0,509.6,0,3.188,-1.05,synthetic
2026-07-23T17:00:00+00:00,edge-illness,17,3,7.16,93.7,60.2,39.0,545.6,4,3.39,-1.05,synthetic
2026-07-23T18:00:00+00:00,edge-illness,18,3,7.16,93.7,60.2,39.0,894.9,2,2.186,-1.05,synthetic
2026-07-23T19:00:00+00:00,edge-illness,19,3,7.16,93.7,60.2,39.0,1248.3,2,2.579,-1.05,synthetic
2026-07-23T20:00:00+00:00,edge-illness,20,3,7.16,93.7,60.2,39.0,1425.2,3,1.895,-1.05,synthetic
2026-07-23T21:00:00+00:00,edge-illness,21,3,7.16,93.7,60.2,39.0,1022.3,2,2.239,-1.05,synthetic
2026-07-23T22:00:00+00:00,edge-illness,22,3,7.16,93.7,60.2,39.0,513.1,1,1.831,-1.05,synthetic
2026-07-23T23:00:00+00:00,edge-illness,23,3,7.16,93.7,60.2,39.0,184.0,0,2.292,-1.05,synthetic
2026-07-24T09:00:00+00:00,edge-illness,9,4,6.32,55.1,61.1,52.5,167.2,5,1.747,-0.1,synthetic
2026-07-24T10:00:00+00:00,edge-illness,10,4,6.32,55.1,61.1,52.5,346.1,3,1.946,-0.1,synthetic
2026-07-24T11:00:00+00:00,edge-illness,11,4,6.32,55.1,61.1,52.5,381.0,0,2.246,-0.1,synthetic
2026-07-24T12:00:00+00:00,edge-illness,12,4,6.32,55.1,61.1,52.5,330.6,1,1.807,-0.1,synthetic
2026-07-24T13:00:00+00:00,edge-illness,13,4,6.32,55.1,61.1,52.5,240.5,1,2.53,-0.1,synthetic
2026-07-24T14:00:00+00:00,edge-illness,14,4,6.32,55.1,61.1,52.5,388.1,0,2.542,-0.1,synthetic
2026-07-24T15:00:00+00:00,edge-illness,15,4,6.32,55.1,61.1,52.5,513.5,0,1.669,-0.1,synthetic
2026-07-24T16:00:00+00:00,edge-illness,16,4,6.32,55.1,61.1,52.5,784.5,2,1.945,-0.1,synthetic
2026-07-24T17:00:00+00:00,edge-illness,17,4,6.32,55.1,61.1,52.5,1499.4,2,1.894,-0.1,synthetic
2026-07-24T18:00:00+00:00,edge-illness,18,4,6.32,55.1,61.1,52.5,1413.4,1,1.64,-0.1,synthetic
2026-07-24T19:00:00+00:00,edge-illness,19,4,6.32,55.1,61.1,52.5,1384.4,1,1.052,-0.1,synthetic
2026-07-24T20:00:00+00:00,edge-illness,20,4,6.32,55.1,61.1,52.5,870.0,2,1.817,-0.1,synthetic
2026-07-24T21:00:00+00:00,edge-illness,21,4,6.32,55.1,61.1,52.5,760.9,1,1.161,-0.1,synthetic
2026-07-24T22:00:00+00:00,edge-illness,22,4,6.32,55.1,61.1,52.5,467.2,2,1.433,-0.1,synthetic
2026-07-24T23:00:00+00:00,edge-illness,23,4,6.32,55.1,61.1,52.5,84.1,0,1.0,-0.1,synthetic
2026-07-25T09:00:00+00:00,edge-illness,9,5,8.14,79.6,62.5,36.8,279.1,3,3.181,0.98,synthetic
2026-07-25T10:00:00+00:00,edge-illness,10,5,8.14,79.6,62.5,36.8,623.7,1,3.334,0.98,synthetic
2026-07-25T11:00:00+00:00,edge-illness,11,5,8.14,79.6,62.5,36.8,877.1,1,3.251,0.98,synthetic
2026-07-25T12:00:00+00:00,edge-illness,12,5,8.14,79.6,62.5,36.8,820.3,2,3.447,0.98,synthetic
2026-07-25T13:00:00+00:00,edge-illness,13,5,8.14,79.6,62.5,36.8,564.2,4,3.108,0.98,synthetic
2026-07-25T14:00:00+00:00,edge-illness,14,5,8.14,79.6,62.5,36.8,415.9,3,3.05,0.98,synthetic
2026-07-25T15:00:00+00:00,edge-illness,15,5,8.14,79.6,62.5,36.8,451.7,3,2.438,0.98,synthetic
2026-07-25T16:00:00+00:00,edge-illness,16,5,8.14,79.6,62.5,36.8,671.8,1,2.97,0.98,synthetic
2026-07-25T17:00:00+00:00,edge-illness,17,5,8.14,79.6,62.5,36.8,1324.5,1,3.485,0.98,synthetic
2026-07-25T18:00:00+00:00,edge-illness,18,5,8.14,79.6,62.5,36.8,1635.8,0,2.53,0.98,synthetic
2026-07-25T19:00:00+00:00,edge-illness,19,5,8.14,79.6,62.5,36.8,1486.1,0,2.327,0.98,synthetic
2026-07-25T20:00:00+00:00,edge-illness,20,5,8.14,79.6,62.5,36.8,1033.7,0,2.737,0.98,synthetic
2026-07-25T21:00:00+00:00,edge-illness,21,5,8.14,79.6,62.5,36.8,464.3,0,2.991,0.98,synthetic
2026-07-25T22:00:00+00:00,edge-illness,22,5,8.14,79.6,62.5,36.8,390.6,2,1.475,0.98,synthetic
2026-07-25T23:00:00+00:00,edge-illness,23,5,8.14,79.6,62.5,36.8,85.2,1,1.801,0.98,synthetic
2026-07-26T10:00:00+00:00,edge-illness,10,6,8.72,106.7,61.5,32.3,643.1,4,3.437,-0.02,synthetic
2026-07-26T11:00:00+00:00,edge-illness,11,6,8.72,106.7,61.5,32.3,1149.5,2,3.305,-0.02,synthetic
2026-07-26T12:00:00+00:00,edge-illness,12,6,8.72,106.7,61.5,32.3,1338.2,4,4.211,-0.02,synthetic
2026-07-26T13:00:00+00:00,edge-illness,13,6,8.72,106.7,61.5,32.3,746.0,1,3.859,-0.02,synthetic
2026-07-26T14:00:00+00:00,edge-illness,14,6,8.72,106.7,61.5,32.3,239.7,1,3.956,-0.02,synthetic
2026-07-26T15:00:00+00:00,edge-illness,15,6,8.72,106.7,61.5,32.3,98.4,2,2.688,-0.02,synthetic
2026-07-26T16:00:00+00:00,edge-illness,16,6,8.72,106.7,61.5,32.3,447.7,1,3.995,-0.02,synthetic
2026-07-26T17:00:00+00:00,edge-illness,17,6,8.72,106.7,61.5,32.3,743.2,1,4.079,-0.02,synthetic
2026-07-26T18:00:00+00:00,edge-illness,18,6,8.72,106.7,61.5,32.3,1321.7,1,3.639,-0.02,synthetic
2026-07-26T19:00:00+00:00,edge-illness,19,6,8.72,106.7,61.5,32.3,1398.2,1,3.023,-0.02,synthetic
2026-07-26T20:00:00+00:00,edge-illness,20,6,8.72,106.7,61.5,32.3,1299.3,0,2.734,-0.02,synthetic
2026-07-26T21:00:00+00:00,edge-illness,21,6,8.72,106.7,61.5,32.3,748.8,1,2.793,-0.02,synthetic
2026-07-26T22:00:00+00:00,edge-illness,22,6,8.72,106.7,61.5,32.3,354.8,3,3.515,-0.02,synthetic
2026-07-26T23:00:00+00:00,edge-illness,23,6,8.72,106.7,61.5,32.3,158.2,3,2.103,-0.02,synthetic
2026-07-27T08:00:00+00:00,edge-illness,8,0,8.64,120.1,62.5,46.3,190.7,1,3.554,0.82,synthetic
2026-07-27T09:00:00+00:00,edge-illness,9,0,8.64,120.1,62.5,46.3,653.3,3,3.831,0.82,synthetic
2026-07-27T10:00:00+00:00,edge-illness,10,0,8.64,120.1,62.5,46.3,958.0,1,3.991,0.82,synthetic
2026-07-27T11:00:00+00:00,edge-illness,11,0,8.64,120.1,62.5,46.3,1105.2,3,3.839,0.82,synthetic
2026-07-27T12:00:00+00:00,edge-illness,12,0,8.64,120.1,62.5,46.3,828.1,1,4.324,0.82,synthetic
2026-07-27T13:00:00+00:00,edge-illness,13,0,8.64,120.1,62.5,46.3,607.2,3,3.671,0.82,synthetic
2026-07-27T14:00:00+00:00,edge-illness,14,0,8.64,120.1,62.5,46.3,269.2,1,3.749,0.82,synthetic
2026-07-27T15:00:00+00:00,edge-illness,15,0,8.64,120.1,62.5,46.3,166.2,1,3.638,0.82,synthetic
2026-07-27T16:00:00+00:00,edge-illness,16,0,8.64,120.1,62.5,46.3,337.7,2,3.969,0.82,synthetic
2026-07-27T17:00:00+00:00,edge-illness,17,0,8.64,120.1,62.5,46.3,570.3,3,3.536,0.82,synthetic
2026-07-27T18:00:00+00:00,edge-illness,18,0,8.64,120.1,62.5,46.3,510.7,2,3.806,0.82,synthetic
2026-07-27T19:00:00+00:00,edge-illness,19,0,8.64,120.1,62.5,46.3,255.4,2,3.854,0.82,synthetic
2026-07-27T20:00:00+00:00,edge-illness,20,0,8.64,120.1,62.5,46.3,212.2,3,3.136,0.82,synthetic
2026-07-27T21:00:00+00:00,edge-illness,21,0,8.64,120.1,62.5,46.3,199.4,1,2.741,0.82,synthetic
2026-07-27T22:00:00+00:00,edge-illness,22,0,8.64,120.1,62.5,46.3,346.2,2,3.262,0.82,synthetic
2026-07-27T23:00:00+00:00,edge-illness,23,0,8.64,120.1,62.5,46.3,219.3,0,2.696,0.82,synthetic
2026-07-28T09:00:00+00:00,edge-illness,9,1,7.64,84.6,58.9,49.6,538.3,1,3.052,-2.39,synthetic
2026-07-28T10:00:00+00:00,edge-illness,10,1,7.64,84.6,58.9,49.6,942.5,2,2.896,-2.39,synthetic
2026-07-28T11:00:00+00:00,edge-illness,11,1,7.64,84.6,58.9,49.6,1134.0,1,2.99,-2.39,synthetic
2026-07-28T12:00:00+00:00,edge-illness,12,1,7.64,84.6,58.9,49.6,650.6,0,2.9,-2.39,synthetic
2026-07-28T13:00:00+00:00,edge-illness,13,1,7.64,84.6,58.9,49.6,246.5,1,3.366,-2.39,synthetic
2026-07-28T14:00:00+00:00,edge-illness,14,1,7.64,84.6,58.9,49.6,77.7,2,3.264,-2.39,synthetic
2026-07-28T15:00:00+00:00,edge-illness,15,1,7.64,84.6,58.9,49.6,108.9,1,3.121,-2.39,synthetic
2026-07-28T16:00:00+00:00,edge-illness,16,1,7.64,84.6,58.9,49.6,478.9,1,3.253,-2.39,synthetic
2026-07-28T17:00:00+00:00,edge-illness,17,1,7.64,84.6,58.9,49.6,807.5,2,2.901,-2.39,synthetic
2026-07-28T18:00:00+00:00,edge-illness,18,1,7.64,84.6,58.9,49.6,1044.4,2,2.759,-2.39,synthetic
2026-07-28T19:00:00+00:00,edge-illness,19,1,7.64,84.6,58.9,49.6,1344.2,0,2.404,-2.39,synthetic
2026-07-28T20:00:00+00:00,edge-illness,20,1,7.64,84.6,58.9,49.6,1263.6,1,2.221,-2.39,synthetic
2026-07-28T21:00:00+00:00,edge-illness,21,1,7.64,84.6,58.9,49.6,1170.3,2,2.514,-2.39,synthetic
2026-07-28T22:00:00+00:00,edge-illness,22,1,7.64,84.6,58.9,49.6,500.4,0,1.525,-2.39,synthetic
2026-07-28T23:00:00+00:00,edge-illness,23,1,7.64,84.6,58.9,49.6,229.7,2,1.629,-2.39,synthetic
2026-07-29T08:00:00+00:00,edge-illness,8,2,8.99,72.5,59.3,49.0,441.6,1,3.3,-1.56,synthetic
2026-07-29T09:00:00+00:00,edge-illness,9,2,8.99,72.5,59.3,49.0,1042.2,3,3.268,-1.56,synthetic
2026-07-29T10:00:00+00:00,edge-illness,10,2,8.99,72.5,59.3,49.0,1471.2,2,3.076,-1.56,synthetic
2026-07-29T11:00:00+00:00,edge-illness,11,2,8.99,72.5,59.3,49.0,1427.4,1,2.868,-1.56,synthetic
2026-07-29T12:00:00+00:00,edge-illness,12,2,8.99,72.5,59.3,49.0,951.2,2,4.054,-1.56,synthetic
2026-07-29T13:00:00+00:00,edge-illness,13,2,8.99,72.5,59.3,49.0,539.9,1,3.701,-1.56,synthetic
2026-07-29T14:00:00+00:00,edge-illness,14,2,8.99,72.5,59.3,49.0,329.7,1,3.431,-1.56,synthetic
2026-07-29T15:00:00+00:00,edge-illness,15,2,8.99,72.5,59.3,49.0,352.4,3,3.218,-1.56,synthetic
2026-07-29T16:00:00+00:00,edge-illness,16,2,8.99,72.5,59.3,49.0,567.0,0,3.703,-1.56,synthetic
2026-07-29T17:00:00+00:00,edge-illness,17,2,8.99,72.5,59.3,49.0,519.5,1,2.969,-1.56,synthetic
2026-07-29T18:00:00+00:00,edge-illness,18,2,8.99,72.5,59.3,49.0,636.5,2,3.223,-1.56,synthetic
2026-07-29T19:00:00+00:00,edge-illness,19,2,8.99,72.5,59.3,49.0,903.2,3,3.197,-1.56,synthetic
2026-07-29T20:00:00+00:00,edge-illness,20,2,8.99,72.5,59.3,49.0,1064.7,1,3.156,-1.56,synthetic
2026-07-29T21:00:00+00:00,edge-illness,21,2,8.99,72.5,59.3,49.0,939.1,2,1.671,-1.56,synthetic
2026-07-29T22:00:00+00:00,edge-illness,22,2,8.99,72.5,59.3,49.0,505.5,1,1.939,-1.56,synthetic
2026-07-29T23:00:00+00:00,edge-illness,23,2,8.99,72.5,59.3,49.0,216.5,1,2.024,-1.56,synthetic
2026-07-30T09:00:00+00:00,edge-illness,9,3,8.07,90.7,62.0,20.5,248.4,1,3.928,0.89,synthetic
2026-07-30T10:00:00+00:00,edge-illness,10,3,8.07,90.7,62.0,20.5,806.6,2,3.405,0.89,synthetic
2026-07-30T11:00:00+00:00,edge-illness,11,3,8.07,90.7,62.0,20.5,1124.8,1,3.642,0.89,synthetic
2026-07-30T12:00:00+00:00,edge-illness,12,3,8.07,90.7,62.0,20.5,994.2,1,3.591,0.89,synthetic
2026-07-30T13:00:00+00:00,edge-illness,13,3,8.07,90.7,62.0,20.5,435.9,3,3.874,0.89,synthetic
2026-07-30T14:00:00+00:00,edge-illness,14,3,8.07,90.7,62.0,20.5,122.9,2,3.245,0.89,synthetic
2026-07-30T15:00:00+00:00,edge-illness,15,3,8.07,90.7,62.0,20.5,22.9,2,2.857,0.89,synthetic
2026-07-30T16:00:00+00:00,edge-illness,16,3,8.07,90.7,62.0,20.5,229.7,0,3.17,0.89,synthetic
2026-07-30T17:00:00+00:00,edge-illness,17,3,8.07,90.7,62.0,20.5,859.5,2,3.851,0.89,synthetic
2026-07-30T18:00:00+00:00,edge-illness,18,3,8.07,90.7,62.0,20.5,1319.5,3,2.949,0.89,synthetic
2026-07-30T19:00:00+00:00,edge-illness,19,3,8.07,90.7,62.0,20.5,1827.3,1,3.823,0.89,synthetic
2026-07-30T20:00:00+00:00,edge-illness,20,3,8.07,90.7,62.0,20.5,1394.8,3,2.073,0.89,synthetic
2026-07-30T21:00:00+00:00,edge-illness,21,3,8.07,90.7,62.0,20.5,1073.2,0,2.746,0.89,synthetic
2026-07-30T22:00:00+00:00,edge-illness,22,3,8.07,90.7,62.0,20.5,358.7,1,2.583,0.89,synthetic
2026-07-30T23:00:00+00:00,edge-illness,23,3,8.07,90.7,62.0,20.5,156.2,2,2.652,0.89,synthetic
2026-07-31T08:00:00+00:00,edge-illness,8,4,8.17,105.7,59.3,42.7,239.7,2,3.602,-1.56,synthetic
2026-07-31T09:00:00+00:00,edge-illness,9,4,8.17,105.7,59.3,42.7,687.1,5,3.3,-1.56,synthetic
2026-07-31T10:00:00+00:00,edge-illness,10,4,8.17,105.7,59.3,42.7,1126.9,3,3.918,-1.56,synthetic
2026-07-31T11:00:00+00:00,edge-illness,11,4,8.17,105.7,59.3,42.7,1185.1,2,3.51,-1.56,synthetic
2026-07-31T12:00:00+00:00,edge-illness,12,4,8.17,105.7,59.3,42.7,917.9,2,3.523,-1.56,synthetic
2026-07-31T13:00:00+00:00,edge-illness,13,4,8.17,105.7,59.3,42.7,503.2,2,3.575,-1.56,synthetic
2026-07-31T14:00:00+00:00,edge-illness,14,4,8.17,105.7,59.3,42.7,205.3,1,3.361,-1.56,synthetic
2026-07-31T15:00:00+00:00,edge-illness,15,4,8.17,105.7,59.3,42.7,190.3,1,3.678,-1.56,synthetic
2026-07-31T16:00:00+00:00,edge-illness,16,4,8.17,105.7,59.3,42.7,429.7,3,3.552,-1.56,synthetic
2026-07-31T17:00:00+00:00,edge-illness,17,4,8.17,105.7,59.3,42.7,864.9,0,3.43,-1.56,synthetic
2026-07-31T18:00:00+00:00,edge-illness,18,4,8.17,105.7,59.3,42.7,1528.3,1,3.237,-1.56,synthetic
2026-07-31T19:00:00+00:00,edge-illness,19,4,8.17,105.7,59.3,42.7,2058.6,2,2.897,-1.56,synthetic
2026-07-31T20:00:00+00:00,edge-illness,20,4,8.17,105.7,59.3,42.7,1856.0,2,2.986,-1.56,synthetic
2026-07-31T21:00:00+00:00,edge-illness,21,4,8.17,105.7,59.3,42.7,1111.5,2,2.756,-1.56,synthetic
2026-07-31T22:00:00+00:00,edge-illness,22,4,8.17,105.7,59.3,42.7,323.4,2,2.503,-1.56,synthetic
